indice,Date,Time,QLF5,PLF5
200,9/14/2023,14 09 2023 03:19:00,0.00,15.60
201,9/14/2023,14 09 2023 03:20:00,0.00,15.50
202,9/14/2023,14 09 2023 03:21:00,0.00,14.80
203,9/14/2023,14 09 2023 03:22:00,1.00,15.30
204,9/14/2023,14 09 2023 03:23:00,2.00,13.90
205,9/14/2023,14 09 2023 03:24:00,2.00,14.00
206,9/14/2023,14 09 2023 03:25:00,1.00,14.50
207,9/14/2023,14 09 2023 03:26:00,0.00,15.30
208,9/14/2023,14 09 2023 03:27:00,0.00,14.00
209,9/14/2023,14 09 2023 03:28:00,0.00,13.40
210,9/14/2023,14 09 2023 03:29:00,0.00,13.50
211,9/14/2023,14 09 2023 03:30:00,0.00,12.80
212,9/14/2023,14 09 2023 03:31:00,0.00,12.30
213,9/14/2023,14 09 2023 03:32:00,0.00,12.90
214,9/14/2023,14 09 2023 03:33:00,0.00,13.20
215,9/14/2023,14 09 2023 03:34:00,0.00,13.30
216,9/14/2023,14 09 2023 03:35:00,0.00,13.40
217,9/14/2023,14 09 2023 03:36:00,0.00,13.40
218,9/14/2023,14 09 2023 03:37:00,0.00,13.20
219,9/14/2023,14 09 2023 03:38:00,0.00,12.40
220,9/14/2023,14 09 2023 03:39:00,0.00,12.00
221,9/14/2023,14 09 2023 03:40:00,0.00,11.80
222,9/14/2023,14 09 2023 03:41:00,0.00,12.40
223,9/14/2023,14 09 2023 03:42:00,0.00,12.40
224,9/14/2023,14 09 2023 03:43:00,0.00,12.30
225,9/14/2023,14 09 2023 03:44:00,0.00,12.00
226,9/14/2023,14 09 2023 03:45:00,0.00,11.20
227,9/14/2023,14 09 2023 03:46:00,0.00,10.80
228,9/14/2023,14 09 2023 03:47:00,0.00,11.50
229,9/14/2023,14 09 2023 03:48:00,0.00,12.10
230,9/14/2023,14 09 2023 03:49:00,0.00,12.20
231,9/14/2023,14 09 2023 03:50:00,0.00,12.30
232,9/14/2023,14 09 2023 03:51:00,0.00,12.30
233,9/14/2023,14 09 2023 03:52:00,0.00,12.40
234,9/14/2023,14 09 2023 03:53:00,0.00,11.80
235,9/14/2023,14 09 2023 03:54:00,0.00,11.50
236,9/14/2023,14 09 2023 03:55:00,0.00,11.50
237,9/14/2023,14 09 2023 03:56:00,0.00,12.90
238,9/14/2023,14 09 2023 03:57:00,0.00,12.20
239,9/14/2023,14 09 2023 03:58:00,0.00,12.80
240,9/14/2023,14 09 2023 03:59:00,0.00,12.70
241,9/14/2023,14 09 2023 04:00:00,0.00,12.00
242,9/14/2023,14 09 2023 04:01:00,0.00,11.80
243,9/14/2023,14 09 2023 04:02:00,0.00,12.40
244,9/14/2023,14 09 2023 04:03:00,0.00,12.80
245,9/14/2023,14 09 2023 04:04:00,0.00,12.80
246,9/14/2023,14 09 2023 04:05:00,0.00,12.70
247,9/14/2023,14 09 2023 04:06:00,0.00,12.20
248,9/14/2023,14 09 2023 04:07:00,0.00,12.00
249,9/14/2023,14 09 2023 04:08:00,0.00,11.50
250,9/14/2023,14 09 2023 04:09:00,0.00,10.80
