time;TIR-249;TIR-250;TT-905
2/12/2023 15:51;35,3;32,7;37,0
2/12/2023 15:52;35,2;32,6;36,9
2/12/2023 15:54;35,0;32,4;36,8
2/12/2023 15:55;35,2;32,3;36,6
2/12/2023 15:57;34,9;32,2;36,5
2/12/2023 15:58;34,8;32,1;36,4
2/12/2023 16:00;34,8;32,0;36,3
2/12/2023 16:01;34,6;32,0;36,3
2/12/2023 16:03;34,6;31,9;36,2
2/12/2023 16:04;34,7;31,8;36,1
2/12/2023 16:06;34,5;31,6;36,0
2/12/2023 16:07;34,4;31,5;35,9
2/12/2023 16:09;34,3;31,5;35,8
2/12/2023 16:10;34,2;31,4;35,7
2/12/2023 16:12;34,1;31,2;35,6
2/12/2023 16:13;34,0;31,3;35,8
2/12/2023 16:15;33,9;31,8;36,4
2/12/2023 16:16;33,9;32,6;36,8
2/12/2023 16:18;34,0;32,6;36,9
2/12/2023 16:19;34,0;32,6;37,0
2/12/2023 16:21;34,0;32,7;37,0
2/12/2023 16:22;34,0;32,6;37,1
2/12/2023 16:24;34,0;32,6;37,2
2/12/2023 16:25;33,8;32,6;37,2
2/12/2023 16:27;34,0;32,7;37,2
2/12/2023 16:28;34,1;32,9;37,3
2/12/2023 16:30;33,9;32,9;37,5
2/12/2023 16:31;34,0;33,3;37,8
2/12/2023 16:33;34,1;33,7;38,2
2/12/2023 16:34;34,0;34,0;38,5
2/12/2023 16:36;34,1;34,1;38,7
2/12/2023 16:37;34,2;34,3;38,8
2/12/2023 16:39;34,3;34,4;38,9
2/12/2023 16:40;34,5;34,5;38,8
2/12/2023 16:42;34,5;34,1;38,6
2/12/2023 16:43;34,6;34,0;38,4
2/12/2023 16:45;34,8;33,9;38,3
2/12/2023 16:46;34,8;33,8;38,2
2/12/2023 16:48;34,8;33,8;38,3
2/12/2023 16:49;34,8;34,0;38,4
2/12/2023 16:51;35,0;34,2;38,6
2/12/2023 16:52;34,9;34,4;38,8
2/12/2023 16:54;34,9;34,6;39,0
2/12/2023 16:55;34,9;34,8;39,0
2/12/2023 16:57;35,1;34,8;39,2
2/12/2023 16:58;35,1;35,0;39,3
2/12/2023 17:00;35,1;35,1;39,5
2/12/2023 17:01;35,2;35,3;39,4
2/12/2023 17:03;35,2;34,8;39,2
2/12/2023 17:04;35,4;34,7;39,0
2/12/2023 17:06;35,4;34,5;38,8
2/12/2023 17:07;35,5;34,4;38,8
2/12/2023 17:09;35,5;34,4;38,7
2/12/2023 17:10;35,6;34,4;38,8
2/12/2023 17:12;35,5;34,2;38,6
2/12/2023 17:13;35,6;33,9;38,3
2/12/2023 17:15;35,6;33,7;38,1
2/12/2023 17:16;35,5;33,8;38,0
2/12/2023 17:18;35,5;33,4;38,0
2/12/2023 17:19;35,4;33,6;38,1
2/12/2023 17:21;35,4;33,8;38,3
2/12/2023 17:22;35,4;34,0;38,4
2/12/2023 17:24;35,3;34,2;38,6
2/12/2023 17:25;35,3;34,3;38,8
2/12/2023 17:27;35,3;34,5;39,0
2/12/2023 17:28;35,3;34,7;39,1
2/12/2023 17:30;35,2;34,7;39,0
2/12/2023 17:31;35,3;34,6;39,0
2/12/2023 17:33;35,5;34,6;39,1
2/12/2023 17:34;35,5;34,9;39,5
2/12/2023 17:36;35,5;35,8;40,1
2/12/2023 17:37;35,5;36,1;40,5
2/12/2023 17:39;35,5;36,3;40,7
2/12/2023 17:40;35,7;36,3;40,9
2/12/2023 17:42;35,7;36,7;41,3
2/12/2023 17:43;36,0;37,2;41,5
2/12/2023 17:45;36,1;37,2;41,7
2/12/2023 17:46;36,3;37,4;41,9
2/12/2023 17:48;36,4;37,4;41,8
2/12/2023 17:49;36,5;37,3;41,7
2/12/2023 17:51;36,7;37,0;41,5
2/12/2023 17:52;36,8;36,8;41,3
2/12/2023 17:54;37,0;36,7;41,2
2/12/2023 17:55;36,9;36,7;41,1
2/12/2023 17:57;37,0;36,7;41,2
2/12/2023 17:58;37,1;36,7;41,2
2/12/2023 18:00;37,2;36,7;41,2
2/12/2023 18:01;37,2;36,5;41,0
2/12/2023 18:03;37,2;36,3;40,7
2/12/2023 18:04;37,1;35,8;40,2
2/12/2023 18:06;37,2;35,4;39,8
2/12/2023 18:07;37,1;35,2;39,6
2/12/2023 18:09;37,1;35,0;39,5
2/12/2023 18:10;36,9;35,2;39,9
2/12/2023 18:12;36,9;36,1;40,8
2/12/2023 18:13;36,9;37,0;41,6
2/12/2023 18:15;37,0;37,4;41,8
2/12/2023 18:16;37,0;37,2;41,7
2/12/2023 18:18;37,0;37,2;41,8
2/12/2023 18:19;37,1;37,4;42,0
2/12/2023 18:21;37,2;37,5;42,0
2/12/2023 18:22;37,2;37,2;41,6
2/12/2023 18:24;37,4;37,1;41,4
2/12/2023 18:25;37,5;36,9;41,4
2/12/2023 18:27;37,6;37,1;41,6
2/12/2023 18:28;37,6;37,2;41,9
2/12/2023 18:30;37,5;37,4;42,1
2/12/2023 18:31;37,5;37,6;42,2
2/12/2023 18:33;37,6;37,9;42,5
2/12/2023 18:34;37,8;38,1;42,8
2/12/2023 18:36;37,8;38,4;43,0
2/12/2023 18:37;37,9;38,7;43,3
2/12/2023 18:39;38,0;38,8;43,5
2/12/2023 18:40;38,2;38,8;43,5
2/12/2023 18:42;38,1;39,0;43,6
2/12/2023 18:43;38,2;39,1;43,8
2/12/2023 18:45;38,3;39,3;43,9
2/12/2023 18:46;38,4;39,4;44,0
2/12/2023 18:48;38,5;39,4;43,8
2/12/2023 18:49;38,7;38,9;43,4
2/12/2023 18:51;38,8;38,3;42,7
2/12/2023 18:52;38,8;37,6;42,0
2/12/2023 18:54;38,8;37,0;41,5
2/12/2023 18:55;38,9;36,7;41,2
2/12/2023 18:57;38,7;36,5;41,1
2/12/2023 18:58;38,8;36,6;41,2
2/12/2023 19:00;38,5;36,7;41,5
2/12/2023 19:01;38,5;37,4;42,1
2/12/2023 19:03;38,4;38,2;42,9
2/12/2023 19:04;38,4;38,7;43,1
2/12/2023 19:06;38,4;38,3;42,7
2/12/2023 19:07;38,5;37,8;42,3
2/12/2023 19:09;38,5;37,6;42,0
2/12/2023 19:10;38,4;37,4;41,7
2/12/2023 19:12;38,6;37,1;41,5
2/12/2023 19:13;38,5;37,0;41,7
2/12/2023 19:15;38,5;37,3;42,0
2/12/2023 19:16;38,3;37,5;42,3
2/12/2023 19:18;38,3;37,9;42,7
2/12/2023 19:19;38,4;38,4;43,1
2/12/2023 19:21;38,4;38,6;43,3
2/12/2023 19:22;38,4;38,9;43,7
2/12/2023 19:24;38,4;39,3;44,0
2/12/2023 19:25;38,5;39,7;44,3
2/12/2023 19:27;38,7;39,9;44,5
2/12/2023 19:28;38,7;40,1;44,7
2/12/2023 19:30;38,8;40,2;44,8
2/12/2023 19:31;39,0;40,3;44,8
2/12/2023 19:33;39,0;40,3;44,8
2/12/2023 19:34;39,2;40,2;44,8
2/12/2023 19:36;39,4;40,2;44,8
2/12/2023 19:37;39,4;40,1;44,5
2/12/2023 19:39;39,7;39,2;44,0
2/12/2023 19:40;39,7;39,2;43,7
2/12/2023 19:42;39,6;38,9;43,6
2/12/2023 19:43;39,8;39,0;43,5
2/12/2023 19:45;39,7;38,8;43,4
2/12/2023 19:46;39,7;38,7;43,3
2/12/2023 19:48;39,7;38,5;42,9
2/12/2023 19:49;39,5;38,1;42,7
2/12/2023 19:51;39,5;38,0;42,3
2/12/2023 19:52;39,4;37,4;42,1
2/12/2023 19:54;39,4;37,3;42,0
2/12/2023 19:55;39,3;37,4;41,9
2/12/2023 19:57;39,2;37,3;42,0
2/12/2023 19:58;39,0;37,3;42,0
2/12/2023 20:00;39,0;37,4;42,1
2/12/2023 20:01;39,0;37,6;42,2
2/12/2023 20:03;38,9;37,8;42,4
2/12/2023 20:04;38,7;38,1;42,8
2/12/2023 20:06;38,7;38,4;43,0
