TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 07:21:00;4.570.000;2.970.000;3.780.000;11.320;222;7.050.000;4.680.000;11.730;34,7;39,3
12 02 2023 07:22:00;4.530.000;2.940.000;3.770.000;11.240;263;7.080.000;4.660.000;11.740;34,5;39,4
12 02 2023 07:23:00;4.580.000;2.970.000;3.770.000;11.320;255;7.170.000;4.670.000;11.840;34,9;39,4
12 02 2023 07:24:00;4.600.000;2.900.000;3.850.000;11.350;257;7.060.000;4.600.000;11.660;34,9;39,4
12 02 2023 07:25:00;4.500.000;2.890.000;3.810.000;11.200;239;7.100.000;4.430.000;11.530;35,0;39,1
12 02 2023 07:26:00;4.600.000;2.940.000;3.880.000;11.420;247;7.050.000;4.610.000;11.660;34,2;38,6
12 02 2023 07:27:00;4.540.000;2.880.000;3.930.000;11.350;254;7.110.000;4.440.000;11.550;33,4;38,3
12 02 2023 07:28:00;4.560.000;2.950.000;3.850.000;11.360;277;7.110.000;4.660.000;11.770;32,9;38,2
12 02 2023 07:29:00;4.510.000;2.970.000;3.820.000;11.300;250;7.110.000;4.690.000;11.800;33,8;38,2
12 02 2023 07:30:00;4.540.000;3.010.000;3.890.000;11.440;286;7.060.000;4.670.000;11.730;33,7;38,2
12 02 2023 07:31:00;4.530.000;2.970.000;3.770.000;11.270;236;7.080.000;4.700.000;11.780;33,2;38,1
12 02 2023 07:32:00;4.610.000;2.930.000;3.930.000;11.470;257;7.100.000;4.600.000;11.700;33,1;38,1
12 02 2023 07:33:00;4.580.000;2.870.000;3.760.000;11.210;260;7.100.000;4.680.000;11.780;33,5;38,2
12 02 2023 07:34:00;4.570.000;2.970.000;3.740.000;11.280;265;7.100.000;4.620.000;11.720;33,8;38,6
12 02 2023 07:35:00;4.540.000;2.950.000;3.810.000;11.300;283;7.010.000;4.690.000;11.700;34,1;38,9
12 02 2023 07:36:00;4.610.000;2.960.000;3.880.000;11.450;270;7.070.000;4.590.000;11.660;34,4;39,3
12 02 2023 07:37:00;4.610.000;2.980.000;3.810.000;11.400;263;7.040.000;4.610.000;11.650;35,1;39,6
12 02 2023 07:38:00;4.650.000;2.960.000;3.850.000;11.460;240;7.020.000;4.640.000;11.660;35,0;39,7
12 02 2023 07:39:00;4.560.000;2.930.000;3.900.000;11.390;242;7.010.000;4.650.000;11.660;35,3;39,7
12 02 2023 07:40:00;4.600.000;2.970.000;3.850.000;11.420;237;7.110.000;4.650.000;11.760;34,9;39,7
12 02 2023 07:41:00;4.490.000;2.920.000;3.870.000;11.280;243;7.020.000;4.710.000;11.730;34,9;39,7
12 02 2023 07:42:00;4.580.000;3.010.000;3.900.000;11.490;246;7.070.000;4.650.000;11.720;35,1;39,7
12 02 2023 07:43:00;4.630.000;2.850.000;3.880.000;11.360;260;7.060.000;4.490.000;11.550;34,9;39,6
12 02 2023 07:44:00;4.640.000;3.020.000;3.870.000;11.530;272;6.960.000;4.550.000;11.510;35,0;39,4
12 02 2023 07:45:00;4.600.000;2.950.000;3.800.000;11.350;287;7.120.000;4.710.000;11.830;34,7;39,3
12 02 2023 07:46:00;4.600.000;2.890.000;3.840.000;11.330;256;7.060.000;4.570.000;11.630;34,7;39,4
12 02 2023 07:47:00;4.600.000;2.960.000;3.900.000;11.460;230;6.980.000;4.660.000;11.640;34,9;39,7
12 02 2023 07:48:00;4.590.000;2.850.000;3.850.000;11.290;283;7.090.000;4.520.000;11.610;35,2;40,0
12 02 2023 07:49:00;4.600.000;2.840.000;3.880.000;11.320;257;7.020.000;4.650.000;11.670;35,2;40,4
12 02 2023 07:50:00;4.600.000;2.960.000;3.890.000;11.450;259;7.040.000;4.720.000;11.760;36,2;40,7
12 02 2023 07:51:00;4.480.000;2.810.000;3.870.000;11.160;274;7.020.000;4.680.000;11.700;35,9;40,9
